StartTime,EndTime,URL,SpanType,Service,SpanId,TraceId,Peer,ParentSpan,Component,IsError
1628884697510,1628884701848,{GET}/api/v1/cancelservice/cancel/{orderId}/{loginId},Entry,ts-cancel-service,a8ac2bc13e5c423d83743ee2d661482b.42.16288846975100028.0,a8ac2bc13e5c423d83743ee2d661482b.42.16288846975100029,ts-cancel-service,-1,SpringMVC,False
1628884697515,1628884697523,SpringAsync,Local,ts-cancel-service,a8ac2bc13e5c423d83743ee2d661482b.58.16288846975150062.0,a8ac2bc13e5c423d83743ee2d661482b.42.16288846975100029,ts-cancel-service,a8ac2bc13e5c423d83743ee2d661482b.42.16288846975100028.0,SpringAsync,False
1628884697515,1628884697523,/api/v1/inside_pay_service/inside_payment/drawback/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f/0.00,Exit,ts-cancel-service,a8ac2bc13e5c423d83743ee2d661482b.58.16288846975150062.1,a8ac2bc13e5c423d83743ee2d661482b.42.16288846975100029,ts-inside-payment-service,a8ac2bc13e5c423d83743ee2d661482b.58.16288846975150062.0,SpringRestTemplate,False
1628884697518,1628884697524,{GET}/api/v1/inside_pay_service/inside_payment/drawback/{userId}/{money},Entry,ts-inside-payment-service,e011366013074feda29701dc14e41305.44.16288846975180094.0,a8ac2bc13e5c423d83743ee2d661482b.42.16288846975100029,ts-inside-payment-service,a8ac2bc13e5c423d83743ee2d661482b.58.16288846975150062.1,SpringMVC,False
1628884697520,1628884697520,MongoDB/FindOperation,Exit,ts-inside-payment-service,e011366013074feda29701dc14e41305.44.16288846975180094.1,a8ac2bc13e5c423d83743ee2d661482b.42.16288846975100029,ts-inside-payment-mongo,e011366013074feda29701dc14e41305.44.16288846975180094.0,mongodb-driver,False
1628884697523,1628884697524,MongoDB/UpdateOperation,Exit,ts-inside-payment-service,e011366013074feda29701dc14e41305.44.16288846975180094.2,a8ac2bc13e5c423d83743ee2d661482b.42.16288846975100029,ts-inside-payment-mongo,e011366013074feda29701dc14e41305.44.16288846975180094.0,mongodb-driver,False
1628884697515,1628884701520,SpringAsync,Local,ts-cancel-service,a8ac2bc13e5c423d83743ee2d661482b.59.16288846975150062.0,a8ac2bc13e5c423d83743ee2d661482b.42.16288846975100029,ts-cancel-service,a8ac2bc13e5c423d83743ee2d661482b.42.16288846975100028.0,SpringAsync,False
1628884701516,1628884701520,/api/v1/orderservice/order,Exit,ts-cancel-service,a8ac2bc13e5c423d83743ee2d661482b.59.16288846975150062.1,a8ac2bc13e5c423d83743ee2d661482b.42.16288846975100029,ts-order-service,a8ac2bc13e5c423d83743ee2d661482b.59.16288846975150062.0,SpringRestTemplate,False
1628884701517,1628884701520,{PUT}/api/v1/orderservice/order,Entry,ts-order-service,411dca6aef3349cbaba94b8c741ee0ff.38.16288847015171022.0,a8ac2bc13e5c423d83743ee2d661482b.42.16288846975100029,ts-order-service,a8ac2bc13e5c423d83743ee2d661482b.59.16288846975150062.1,SpringMVC,False
1628884701518,1628884701519,MongoDB/FindOperation,Exit,ts-order-service,411dca6aef3349cbaba94b8c741ee0ff.38.16288847015171022.1,a8ac2bc13e5c423d83743ee2d661482b.42.16288846975100029,ts-order-mongo,411dca6aef3349cbaba94b8c741ee0ff.38.16288847015171022.0,mongodb-driver,False
1628884701519,1628884701519,MongoDB/UpdateOperation,Exit,ts-order-service,411dca6aef3349cbaba94b8c741ee0ff.38.16288847015171022.2,a8ac2bc13e5c423d83743ee2d661482b.42.16288846975100029,ts-order-mongo,411dca6aef3349cbaba94b8c741ee0ff.38.16288847015171022.0,mongodb-driver,False
1628884697512,1628884697515,/api/v1/orderservice/order/49848630-5e9b-463c-8791-0f7b52636441,Exit,ts-cancel-service,a8ac2bc13e5c423d83743ee2d661482b.42.16288846975100028.1,a8ac2bc13e5c423d83743ee2d661482b.42.16288846975100029,ts-order-service,a8ac2bc13e5c423d83743ee2d661482b.42.16288846975100028.0,SpringRestTemplate,False
1628884697513,1628884697515,{GET}/api/v1/orderservice/order/{orderId},Entry,ts-order-service,411dca6aef3349cbaba94b8c741ee0ff.46.16288846975131014.0,a8ac2bc13e5c423d83743ee2d661482b.42.16288846975100029,ts-order-service,a8ac2bc13e5c423d83743ee2d661482b.42.16288846975100028.1,SpringMVC,False
1628884697514,1628884697514,MongoDB/FindOperation,Exit,ts-order-service,411dca6aef3349cbaba94b8c741ee0ff.46.16288846975131014.1,a8ac2bc13e5c423d83743ee2d661482b.42.16288846975100029,ts-order-mongo,411dca6aef3349cbaba94b8c741ee0ff.46.16288846975131014.0,mongodb-driver,False
1628884701520,1628884701524,/api/v1/userservice/users/id/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,Exit,ts-cancel-service,a8ac2bc13e5c423d83743ee2d661482b.42.16288846975100028.2,a8ac2bc13e5c423d83743ee2d661482b.42.16288846975100029,ts-user-service,a8ac2bc13e5c423d83743ee2d661482b.42.16288846975100028.0,SpringRestTemplate,False
1628884701523,1628884701525,{GET}/api/v1/userservice/users/id/{userId},Entry,ts-user-service,9c0a0f29458041119609c3a58e6e44fa.45.16288847015230236.0,a8ac2bc13e5c423d83743ee2d661482b.42.16288846975100029,ts-user-service,a8ac2bc13e5c423d83743ee2d661482b.42.16288846975100028.2,SpringMVC,False
1628884701524,1628884701525,MongoDB/FindOperation,Exit,ts-user-service,9c0a0f29458041119609c3a58e6e44fa.45.16288847015230236.1,a8ac2bc13e5c423d83743ee2d661482b.42.16288846975100029,ts-user-mongo,9c0a0f29458041119609c3a58e6e44fa.45.16288847015230236.0,mongodb-driver,False
